company_name,high,low,last_price,prev_close,change,percent_gain
TBO Tek,"1,608.00","1,504.70","1,591.00","1,382.50",208.5,15.08
Netweb,"2,564.00","2,281.80","2,526.90","2,266.60",260.3,11.48
Ola Electric,70.25,61.15,68.99,61.96,7.03,11.35
NMDC Steel,44.19,39.26,43.00,39.23,3.77,9.61
Piramal Pharma,202.20,186.99,201.16,186.71,14.45,7.74
Tata Steel,168.00,158.40,167.85,158.39,9.46,5.97
Valor Estate,184.80,170.35,180.16,170.31,9.85,5.78
Jindal Steel,"1,030.00",973.00,"1,028.35",975.15,53.2,5.46
SAIL,130.00,123.56,129.68,123.09,6.59,5.35
Wockhardt,"1,498.00","1,417.10","1,488.00","1,415.10",72.9,5.15
Inventurus Know,"1,582.00","1,492.20","1,571.70","1,496.80",74.9,5
India Cements,406.40,385.00,403.75,385.10,18.65,4.84
AAVAS Financier,"1,619.80","1,527.10","1,601.00","1,528.30",72.7,4.76
Neuland Lab,"14,545.00","13,671.00","14,368.00","13,728.00",640,4.66
Tejas Networks,624.85,585.55,612.40,585.80,26.6,4.54
Guj Mineral,464.95,439.10,459.70,440.05,19.65,4.47
Glenmark,"2,009.00","1,929.00","2,004.40","1,918.80",85.6,4.46
Raymond Life,"1,284.40","1,186.60","1,243.30","1,190.60",52.7,4.43
ITI,322.00,303.00,315.25,301.90,13.35,4.42
Hind Copper,250.89,238.20,247.97,237.80,10.17,4.28
JSW Holdings,"18,700.00","17,978.00","18,639.00","17,898.00",741,4.14
Syrma SGS,803.50,754.95,791.50,760.30,31.2,4.1
Yes Bank,20.38,19.70,20.35,19.55,0.8,4.09
Poonawalla Fin,445.00,424.00,442.95,425.75,17.2,4.04
Sundaram Fin,"4,490.00","4,329.90","4,478.50","4,305.30",173.2,4.02
KPIL,"1,275.60","1,220.20","1,272.40","1,223.50",48.9,4
ACME Solar,303.90,288.00,298.55,287.20,11.35,3.95
AWL Agri,268.30,255.60,267.25,257.40,9.85,3.83
New India Assur,203.70,193.60,200.01,192.87,7.14,3.7
EIH,417.50,400.90,412.50,398.05,14.45,3.63
SBFC Finance,108.31,104.30,107.80,104.05,3.75,3.6
Shyam Metalics,939.00,902.50,934.60,902.30,32.3,3.58
SUMITOMO,595.00,568.55,590.55,570.95,19.6,3.43
JM Financial,193.00,183.69,189.51,183.25,6.26,3.42
Welspun Corp,855.45,822.60,852.40,824.30,28.1,3.41
Dr Lal PathLab,"3,395.00","3,208.30","3,337.60","3,228.30",109.3,3.39
Vijaya Diagnost,"1,079.00","1,028.00","1,065.20","1,030.70",34.5,3.35
UTI AMC,"1,364.70","1,293.00","1,349.40","1,305.80",43.6,3.34
NALCO,208.30,201.51,207.12,200.53,6.59,3.29
Nippon,820.00,795.60,816.15,790.25,25.9,3.28
Reliance Power,48.34,46.67,47.75,46.24,1.51,3.27
Lupin,"1,953.80","1,875.00","1,951.10","1,889.70",61.4,3.25
Bajaj Holdings,"13,067.00","12,650.00","13,023.00","12,620.00",403,3.19
Godawari Power,249.00,239.83,247.98,240.36,7.62,3.17
Muthoot Finance,"2,800.00","2,709.50","2,783.60","2,698.70",84.9,3.15
Ajanta Pharma,"2,580.90","2,447.00","2,557.50","2,480.00",77.5,3.13
Hindalco,744.00,723.10,742.95,720.95,22,3.05
LT Foods,451.00,436.75,449.40,436.70,12.7,2.91
Fortis Health,959.00,931.80,956.60,929.75,26.85,2.89
Star Health,454.20,441.05,452.05,439.75,12.3,2.8
Rashtriya Chem,162.10,156.66,161.41,157.14,4.27,2.72
Sai Life Sci,855.95,823.00,847.85,825.40,22.45,2.72
JSW Steel,"1,079.90","1,040.00","1,072.20","1,044.00",28.2,2.7
Lemon Tree,171.80,165.05,169.71,165.27,4.44,2.69
Global Health,"1,454.00","1,395.10","1,427.20","1,390.40",36.8,2.65
MMTC,65.60,62.81,64.53,62.87,1.66,2.64
Kaynes Tech,"6,792.00","6,573.00","6,744.00","6,573.00",171,2.6
Latent View,427.35,414.05,424.90,414.20,10.7,2.58
Syngene Intl,653.00,634.10,651.90,635.65,16.25,2.56
Coal India,393.30,380.00,389.80,380.10,9.7,2.55
HEG,495.00,478.40,490.25,478.25,12,2.51
Manappuram Fin,292.70,282.00,288.00,281.00,7,2.49
Inox India,"1,182.00","1,141.00","1,180.40","1,151.80",28.6,2.48
APTUS VALUE,334.00,323.70,332.15,324.15,8,2.47
