company_name,high,low,last_price,prev_close,change,percent_gain
Neuland Lab,"14,761.00","12,126.00","14,548.00","12,301.00","2,247.00",18.27
Ola Electric,47.76,39.60,47.07,39.80,7.27,18.27
Jaiprakash Pow,27.70,23.08,27.23,23.63,3.60,15.23
Anand Rathi,"2,596.80","2,216.30","2,540.20","2,211.70",328.50,14.85
Godfrey Phillip,"9,100.00","8,372.50","9,051.00","8,401.50",649.50,7.73
Vodafone Idea,7.77,7.13,7.71,7.17,0.54,7.53
Piramal Enter,"1,297.90","1,207.50","1,293.30","1,217.50",75.80,6.23
Alivus Life,"1,085.00","1,009.10","1,072.90","1,014.60",58.30,5.75
Alembic Pharma,"1,039.60",972.30,"1,030.40",976.60,53.80,5.51
Indiamart Inter,"2,799.00","2,606.00","2,741.60","2,604.60",137.00,5.26
Sai Life Sci,825.95,783.00,823.10,782.15,40.95,5.24
Usha Martin,391.80,367.60,389.60,370.45,19.15,5.17
HEG,535.95,494.55,531.45,505.45,26.00,5.14
HEG,535.95,494.55,531.45,505.45,26.00,5.14
Ceat,"3,925.00","3,729.10","3,908.50","3,723.50",185.00,4.97
Mankind Pharma,"2,706.00","2,519.60","2,696.50","2,578.30",118.20,4.58
Emcure Pharmace,"1,361.90","1,285.10","1,355.20","1,297.20",58.00,4.47
Laurus Labs,827.50,788.20,823.85,790.20,33.65,4.26
Zee Entertain,145.00,136.20,142.96,137.36,5.60,4.08
Graphite India,590.00,562.10,585.30,562.40,22.90,4.07
BSE Limited,"2,477.20","2,390.80","2,460.70","2,371.10",89.60,3.78
BEML,"4,614.80","4,445.00","4,594.90","4,428.90",166.00,3.75
IFCI,66.33,59.88,62.91,60.72,2.19,3.61
Bosch,"37,985.00","36,525.00","37,845.00","36,525.00","1,320.00",3.61
Granules India,489.50,467.00,485.75,469.00,16.75,3.57
Himadri Special,520.80,496.60,516.65,499.20,17.45,3.5
Piramal Pharma,208.45,198.51,207.88,200.98,6.90,3.43
Wockhardt,"1,854.00","1,739.20","1,816.70","1,757.10",59.60,3.39
KEI Industries,"3,755.00","3,612.00","3,732.60","3,612.30",120.30,3.33
eClerx Services,"3,619.00","3,439.00","3,592.00","3,481.20",110.80,3.18
Oil India,446.65,430.90,445.85,432.30,13.55,3.13
Adani Green Ene,"1,036.00",994.20,"1,025.90",995.20,30.70,3.08
CESC,181.20,174.22,180.07,174.81,5.26,3.01
Sobha,"1,563.00","1,493.00","1,544.90","1,499.90",45.00,3
Go Digit,354.70,340.00,352.15,342.05,10.10,2.95
Valor Estate,249.80,235.95,248.35,241.29,7.06,2.93
Bajaj Holdings,"14,299.00","13,659.00","14,148.00","13,752.00",396.00,2.88
JM Financial,173.39,166.37,172.18,167.45,4.73,2.82
JK Bank,112.45,109.01,111.79,108.75,3.04,2.8
R R Kabel,"1,405.40","1,319.90","1,369.20","1,332.10",37.10,2.79
Eternal,277.75,262.30,270.60,263.35,7.25,2.75
Torrent Pharma,"3,413.80","3,314.20","3,404.90","3,314.20",90.70,2.74
Waaree Energies,"3,234.00","3,078.50","3,197.00","3,112.10",84.90,2.73
Ashok Leyland,253.95,247.00,252.95,246.25,6.70,2.72
Blue Dart,"6,850.00","6,612.50","6,824.00","6,643.00",181.00,2.72
Redington,309.80,297.00,307.95,299.80,8.15,2.72
Hind Zinc,437.20,426.40,436.35,424.90,11.45,2.69
Endurance Techn,"2,712.60","2,602.10","2,692.00","2,623.00",69.00,2.63
Coromandel Int,"2,395.00","2,304.70","2,385.20","2,324.80",60.40,2.6
Niva Bupa Healt,91.25,88.06,91.00,88.69,2.31,2.6
Vishal Mega Mar,140.40,133.65,137.09,133.62,3.47,2.6
Minda Corp,522.50,501.00,516.40,503.35,13.05,2.59
Max Healthcare,"1,263.20","1,220.00","1,249.60","1,219.20",30.40,2.49
One 97 Paytm,979.85,935.10,974.70,951.15,23.55,2.48
Jubilant Pharmo,"1,201.50","1,159.10","1,194.00","1,165.70",28.30,2.43
NAVA,608.00,586.00,604.45,590.65,13.80,2.34
Network 18,56.50,54.55,56.09,54.81,1.28,2.34
Fortis Health,786.90,761.00,782.30,764.55,17.75,2.32
Atul,"7,576.00","7,415.50","7,554.00","7,385.00",169.00,2.29
Godrej Prop,"2,270.00","2,192.90","2,256.90","2,206.30",50.60,2.29
Union Bank,147.43,143.82,147.01,143.74,3.27,2.27
Eris Life,"1,769.90","1,694.30","1,746.50","1,709.80",36.70,2.15
Hyundai Motor,"2,152.00","2,088.30","2,148.80","2,103.60",45.20,2.15
Carborundum,997.70,965.80,993.40,972.65,20.75,2.13
Amber Enterpris,"7,695.50","7,459.00","7,625.00","7,466.50",158.50,2.12
PG Electroplast,792.00,758.25,783.65,767.70,15.95,2.08
PG Electroplast,792.00,758.25,783.65,767.70,15.95,2.08
PB Fintech,"1,836.90","1,773.00","1,831.20","1,793.80",37.40,2.08
Brigade Ent,"1,095.00","1,063.30","1,084.90","1,063.00",21.90,2.06
Swiggy,394.70,380.40,393.05,385.10,7.95,2.06
Clean Science,"1,473.70","1,414.40","1,455.60","1,426.60",29.00,2.03
General Insuran,383.35,374.00,382.85,375.25,7.60,2.03
Westlife Food,796.25,767.45,789.85,774.40,15.45,2
MCX India,"8,314.00","8,068.00","8,209.00","8,048.00",161.00,2
Varun Beverages,462.00,450.00,461.20,452.25,8.95,1.98
Varun Beverages,462.00,450.00,461.20,452.25,8.95,1.98
Varun Beverages,462.00,450.00,461.20,452.25,8.95,1.98
Tata Chemicals,925.65,903.20,923.95,906.30,17.65,1.95
Campus Active,289.80,276.55,288.75,283.40,5.35,1.89
Concord Biotech,"1,852.40","1,796.10","1,836.80","1,803.30",33.50,1.86
Tata Elxsi,"6,202.50","6,002.00","6,179.00","6,066.00",113.00,1.86
Global Health,"1,332.30","1,296.60","1,327.40","1,303.30",24.10,1.85
Prestige Estate,"1,734.90","1,684.30","1,726.30","1,695.00",31.30,1.85
Aadhar Housing ,461.05,448.50,459.95,451.70,8.25,1.83
Anant Raj,574.75,551.20,571.50,561.30,10.20,1.82
JB Chemicals,"1,640.00","1,604.00","1,637.90","1,608.60",29.30,1.82
JB Chemicals,"1,640.00","1,604.00","1,637.90","1,608.60",29.30,1.82
ICICI Prudentia,674.00,654.75,672.50,660.70,11.80,1.79
Chambal Fert,546.70,531.85,544.75,535.20,9.55,1.78
City Union Bank,216.07,208.31,213.86,210.13,3.73,1.78
Cyient,"1,296.10","1,254.10","1,293.80","1,271.30",22.50,1.77
Glenmark,"2,229.00","2,138.50","2,219.20","2,181.10",38.10,1.75
Intellect Desig,"1,175.80","1,130.10","1,172.20","1,152.00",20.20,1.75
Page Industries,"48,925.00","47,880.00","48,765.00","47,930.00",835.00,1.74
Info Edge,"1,402.90","1,354.00","1,399.00","1,375.20",23.80,1.73
Netweb,"2,008.60","1,950.20","1,981.00","1,947.40",33.60,1.73
TVS Motor,"2,807.70","2,750.50","2,802.20","2,754.50",47.70,1.73
Yes Bank,20.06,19.55,19.99,19.66,0.33,1.68
Schaeffler Ind,"4,299.00","4,105.60","4,224.60","4,155.40",69.20,1.67
TBO Tek,"1,359.80","1,310.90","1,347.40","1,325.30",22.10,1.67
KNR Construct,220.05,214.05,218.96,215.38,3.58,1.66
Lupin,"1,935.00","1,888.60","1,926.10","1,894.70",31.40,1.66
Gland,"1,934.40","1,861.10","1,889.60","1,859.00",30.60,1.65
Syngene Intl,645.65,620.70,636.30,626.15,10.15,1.62
Blue Star,"1,835.00","1,777.90","1,828.50","1,799.80",28.70,1.59
NCC,227.65,222.60,225.30,221.81,3.49,1.57
Natco Pharma,984.00,955.10,976.90,961.80,15.10,1.57
Canara Bank,115.30,111.90,113.67,111.92,1.75,1.56
Canara Bank,115.30,111.90,113.67,111.92,1.75,1.56
Federal Bank,211.40,206.39,210.57,207.38,3.19,1.54
Sterling Wilson,338.00,326.85,334.55,329.65,4.90,1.49
Phoenix Mills,"1,515.00","1,488.00","1,510.90","1,488.90",22.00,1.48
Bank of Baroda,241.80,236.44,240.92,237.44,3.48,1.47
Brainbees Solu,387.20,375.20,385.40,379.85,5.55,1.46
Transformers,514.90,496.45,507.95,500.65,7.30,1.46
DLF,832.00,815.15,826.90,815.10,11.80,1.45
Tata Power,403.15,395.50,402.55,396.85,5.70,1.44
CAMS,"4,168.00","4,065.20","4,127.50","4,069.60",57.90,1.42
Lodha Developer,"1,423.20","1,387.00","1,419.70","1,400.10",19.60,1.4
Aditya Birla Re,"2,243.00","2,190.20","2,231.60","2,200.90",30.70,1.39
IGIL,391.90,380.55,390.45,385.15,5.30,1.38
Nuvama Wealth,"7,505.50","7,363.00","7,418.50","7,318.00",100.50,1.37
Polycab,"6,880.00","6,722.50","6,796.50","6,705.50",91.00,1.36
Astral Ltd,"1,498.00","1,461.20","1,495.00","1,475.10",19.90,1.35
CreditAccess Gr,"1,331.60","1,289.80","1,323.80","1,306.50",17.30,1.32
Castrol,232.43,222.00,222.79,219.89,2.90,1.32
Petronet LNG,306.30,297.65,303.80,299.85,3.95,1.32
Biocon,381.25,369.00,379.10,374.20,4.90,1.31
Cohance Life,"1,035.00",995.00,"1,031.25","1,017.95",13.30,1.31
Elecon Eng,637.85,622.50,627.35,619.30,8.05,1.3
Elecon Eng,637.85,622.50,627.35,619.30,8.05,1.3
Five-Star Busin,794.45,758.50,780.10,770.10,10.00,1.3
JSW Energy,534.35,522.25,530.50,523.70,6.80,1.3
FSN E-Co Nykaa,220.40,216.68,220.03,217.23,2.80,1.29
Titan Company,"3,410.00","3,344.00","3,404.70","3,361.60",43.10,1.28
IDBI Bank,100.80,98.60,100.26,99.00,1.26,1.27
HFCL,82.60,80.68,82.23,81.21,1.02,1.26
Aurobindo Pharm,"1,147.70","1,122.60","1,138.60","1,124.80",13.80,1.23
Mah Seamless,714.00,692.65,706.10,697.50,8.60,1.23
Vedanta,450.45,439.30,448.20,442.75,5.45,1.23
ITI,326.90,311.95,319.30,315.50,3.80,1.2
Jyoti CNC Auto,"1,033.00",998.00,"1,027.40","1,015.20",12.20,1.2
GMR Airports,92.39,89.65,91.66,90.61,1.05,1.16
Chalet Hotels,875.00,855.20,867.90,858.10,9.80,1.14
Sona BLW,470.00,445.50,452.25,447.15,5.10,1.14
Oracle Fin Serv,"8,759.50","8,505.50","8,733.50","8,636.00",97.50,1.13
Tata Tech,722.70,702.00,716.80,708.80,8.00,1.13
Siemens,"3,164.00","3,065.00","3,152.60","3,117.70",34.90,1.12
Welspun Corp,928.80,887.50,921.10,910.95,10.15,1.11
DCM Shriram,"1,375.00","1,343.90","1,365.10","1,350.20",14.90,1.1
JSW Holdings,"22,340.00","21,525.00","22,155.00","21,915.00",240.00,1.1
Radico Khaitan,"2,780.00","2,722.60","2,748.20","2,718.30",29.90,1.1
Sundaram Fin,"5,084.00","4,975.00","5,046.00","4,991.00",55.00,1.1
Sun TV Network,574.25,561.60,572.70,566.50,6.20,1.09
CG Power ,680.00,666.20,674.80,667.75,7.05,1.06
PNB Housing Fin,"1,090.00","1,070.70","1,088.10","1,076.80",11.30,1.05
UPL,661.80,646.75,659.50,652.80,6.70,1.03
IndusInd Bank,873.50,857.45,867.60,858.85,8.75,1.02
ONGC,244.89,241.14,244.22,241.76,2.46,1.02
MOTHERSON,153.72,150.80,152.24,150.75,1.49,0.99
J. K. Cement,"6,545.00","6,421.00","6,510.50","6,447.50",63.00,0.98
GAIL,184.40,180.11,183.64,181.89,1.75,0.96
Jindal Stainles,696.00,681.25,691.10,684.50,6.60,0.96
Muthoot Finance,"2,682.40","2,614.20","2,665.40","2,640.60",24.80,0.94
Adani Power,619.30,602.25,609.55,603.95,5.60,0.93
UTI AMC,"1,437.50","1,370.10","1,407.70","1,394.70",13.00,0.93
Amara Raja,987.90,970.55,986.85,978.05,8.80,0.9
CG Consumer,339.95,334.75,338.65,335.65,3.00,0.89
TITAGARH,942.85,923.20,938.90,930.65,8.25,0.89
Adani Enterpris,"2,604.80","2,543.50","2,581.30","2,558.70",22.60,0.88
JK Tyre Ind,368.00,361.05,366.10,362.90,3.20,0.88
MM Financial,268.80,265.05,268.15,265.80,2.35,0.88
SBI Life Insura,"1,856.30","1,831.70","1,851.30","1,835.20",16.10,0.88
Whirlpool,"1,391.30","1,364.90","1,384.40","1,372.50",11.90,0.87
Gujarat Fluoro,"3,458.00","3,352.80","3,412.20","3,383.40",28.80,0.85
NHPC,89.75,87.57,88.78,88.05,0.73,0.83
Grasim,"2,809.00","2,755.10","2,784.40","2,762.00",22.40,0.81
Triveni Turbine,652.40,639.00,649.00,643.80,5.20,0.81
C. E. Info Syst,"1,816.00","1,773.10","1,809.40","1,795.10",14.30,0.8
KEC Intl,881.00,864.00,871.55,864.65,6.90,0.8
Hero Motocorp,"4,259.00","4,197.20","4,251.70","4,218.70",33.00,0.78
Alkyl Amines,"2,269.60","2,197.50","2,251.10","2,234.20",16.90,0.76
AB Capital,273.15,267.65,271.50,269.45,2.05,0.76
Ajanta Pharma,"2,688.80","2,592.10","2,646.40","2,626.50",19.90,0.76
Coal India,385.90,381.50,383.85,380.95,2.90,0.76
HDFC Life,767.45,753.00,764.75,759.00,5.75,0.76
Apar Ind,"8,799.50","8,663.00","8,736.00","8,671.50",64.50,0.74
Adani Energy,886.55,867.30,880.50,874.05,6.45,0.74
IRB Infra,48.15,47.42,47.95,47.60,0.35,0.74
IRB Infra,48.15,47.42,47.95,47.60,0.35,0.74
Reliance Power,66.10,64.25,65.29,64.81,0.48,0.74
IIFL Finance,525.40,518.00,523.55,519.75,3.80,0.73
Max Financial,"1,592.50","1,558.80","1,578.50","1,567.20",11.30,0.72
Alkem Lab,"4,877.70","4,786.70","4,840.70","4,806.70",34.00,0.71
Dixon Technolog,"15,990.00","15,710.00","15,898.00","15,786.00",112.00,0.71
Exide Ind,384.00,376.10,383.35,380.65,2.70,0.71
Kirloskar Oil,932.35,904.80,921.35,914.85,6.50,0.71
ABSL AMC,854.60,838.00,850.05,844.30,5.75,0.68
Linde India,"6,874.00","6,750.00","6,840.50","6,794.50",46.00,0.68
Tejas Networks,703.80,688.00,698.40,693.65,4.75,0.68
Sonata,434.15,425.05,432.90,430.05,2.85,0.66
Narayana Hruda,"2,045.00","2,002.00","2,019.80","2,007.00",12.80,0.64
Sun Pharma,"1,696.90","1,675.50","1,682.60","1,672.00",10.60,0.63
ITC,419.95,416.55,419.40,416.80,2.60,0.62
Kalyan Jeweller,588.40,580.20,585.75,582.15,3.60,0.62
M&M,"3,104.80","3,053.60","3,092.10","3,073.20",18.90,0.61
KPIL,"1,204.70","1,180.00","1,198.80","1,191.70",7.10,0.6
Nippon,819.00,799.15,809.70,804.85,4.85,0.6
Honeywell Autom,"40,760.00","40,300.00","40,555.00","40,320.00",235.00,0.58
Indian Bank,644.85,629.85,635.10,631.50,3.60,0.57
PTC Industries,"14,560.00","14,099.00","14,487.00","14,405.00",82.00,0.57
Shyam Metalics,858.40,839.00,855.30,850.55,4.75,0.56
Voltas,"1,379.40","1,361.30","1,376.80","1,369.50",7.30,0.53
Aarti Ind,447.90,436.50,443.30,441.00,2.30,0.52
Ambuja Cements,591.40,584.50,590.15,587.15,3.00,0.51
Patanjali Foods,"1,679.00","1,658.10","1,673.70","1,665.20",8.50,0.51
Ipca Labs,"1,470.60","1,418.40","1,456.80","1,449.60",7.20,0.5
CenturyPlyboard,739.40,728.55,734.25,730.70,3.55,0.49
PNC Infratech,306.00,299.70,305.05,303.55,1.50,0.49
SJVN,98.84,96.91,98.31,97.83,0.48,0.49
Caplin Labs,"2,050.00","2,001.00","2,033.10","2,023.30",9.80,0.48
Data Patterns,"2,890.00","2,811.00","2,862.70","2,849.10",13.60,0.48
LT Finance,208.49,203.18,205.57,204.59,0.98,0.48
Persistent,"5,625.00","5,500.00","5,605.00","5,578.50",26.50,0.48
Persistent,"5,625.00","5,500.00","5,605.00","5,578.50",26.50,0.48
United Spirits,"1,373.60","1,345.30","1,364.00","1,357.60",6.40,0.47
Timken,"3,420.00","3,351.10","3,372.80","3,356.90",15.90,0.47
Bayer CropScien,"6,239.50","6,164.50","6,224.50","6,196.00",28.50,0.46
PNB,112.45,110.15,110.72,110.21,0.51,0.46
TataTeleservice,64.84,63.58,64.51,64.22,0.29,0.45
Sundram,"1,049.90","1,015.50","1,034.70","1,030.10",4.60,0.45
Tanla Platforms,637.50,630.85,634.95,632.10,2.85,0.45
Syrma SGS,700.25,668.00,681.45,678.45,3.00,0.44
Capri Global,178.00,173.67,176.96,176.20,0.76,0.43
Capri Global,178.00,173.67,176.96,176.20,0.76,0.43
Apollo Hospital,"7,256.50","7,173.00","7,220.00","7,189.50",30.50,0.42
EID Parry,"1,169.00","1,107.60","1,157.20","1,152.40",4.80,0.42
Kaynes Tech,"6,063.50","5,951.50","6,023.00","5,998.00",25.00,0.42
UNO Minda,"1,081.20","1,061.70","1,077.50","1,073.00",4.50,0.42
Hindustan Aeron,"4,915.00","4,840.00","4,886.20","4,866.10",20.10,0.41
Hindustan Aeron,"4,915.00","4,840.00","4,886.20","4,866.10",20.10,0.41
Inventurus Know,"1,602.60","1,581.90","1,591.70","1,585.20",6.50,0.41
MRF,"150,600.00","147,005.00","148,845.00","148,240.00",605.00,0.41
Sagility India,45.59,44.22,44.97,44.79,0.18,0.4
Interglobe Avi,"5,960.00","5,887.50","5,940.50","5,917.50",23.00,0.39
COFORGE LTD.,"1,890.80","1,842.00","1,875.00","1,867.80",7.20,0.39
Tata Steel,161.12,159.30,160.44,159.84,0.60,0.38
Bank of India,115.87,113.84,114.98,114.56,0.42,0.37
ICICI Lombard ,"2,041.50","1,990.20","2,019.70","2,012.20",7.50,0.37
Kajaria Ceramic,"1,218.00","1,164.30","1,183.70","1,179.30",4.40,0.37
LIC Housing Fin,611.40,600.75,606.90,604.65,2.25,0.37
Can Fin Homes,801.85,789.25,797.15,794.30,2.85,0.36
Chennai Petro,725.75,711.60,721.90,719.30,2.60,0.36
Britannia,"5,808.50","5,744.00","5,778.00","5,758.50",19.50,0.34
IEX,208.60,205.10,207.13,206.43,0.70,0.34
Premier Energie,"1,125.00","1,095.00","1,108.80","1,105.00",3.80,0.34
CRISIL,"6,100.00","5,975.00","5,993.00","5,973.00",20.00,0.33
Hind Copper,265.00,259.50,263.50,262.65,0.85,0.32
Karur Vysya,271.00,266.00,270.00,269.15,0.85,0.32
Marico,731.85,722.60,728.00,725.65,2.35,0.32
ZFCVINDIA,"13,086.00","12,800.00","12,994.00","12,953.00",41.00,0.32
HUDCO,234.75,230.50,231.43,230.71,0.72,0.31
Adani Total Gas,656.00,640.00,646.70,644.75,1.95,0.3
Craftsman,"5,973.00","5,900.00","5,955.00","5,937.00",18.00,0.3
Elgi Equipments,556.50,542.15,552.65,551.05,1.60,0.29
GE Shipping,"1,002.00",982.60,994.80,992.00,2.80,0.28
Rainbow Child,"1,549.90","1,510.60","1,531.40","1,527.20",4.20,0.28
Bajaj Auto,"8,120.00","8,035.50","8,087.50","8,067.00",20.50,0.25
RITES,284.00,277.90,278.95,278.25,0.70,0.25
Bank of Mah,56.68,55.61,56.08,55.95,0.13,0.23
Gujarat Pipavav,159.70,157.05,158.63,158.27,0.36,0.23
NLC India,230.80,226.51,227.60,227.11,0.49,0.22
Shriram Finance,672.90,662.50,669.75,668.25,1.50,0.22
Shriram Finance,672.90,662.50,669.75,668.25,1.50,0.22
Motilal Oswal,940.55,918.10,936.40,934.40,2.00,0.21
KFin Tech,"1,299.90","1,267.00","1,275.60","1,273.10",2.50,0.2
Inox Wind,177.79,174.01,176.55,176.23,0.32,0.18
Jubilant Food,683.00,673.10,679.80,678.60,1.20,0.18
Rail Vikas,385.35,380.65,382.30,381.65,0.65,0.17
UltraTechCement,"12,579.00","12,430.00","12,516.00","12,495.00",21.00,0.17
JSW Steel,"1,044.90","1,031.80","1,038.90","1,037.20",1.70,0.16
Alok Industries,21.09,20.42,20.82,20.79,0.03,0.14
PI Industries,"4,061.70","3,975.40","4,050.10","4,044.80",5.30,0.13
NBCC (India),113.90,112.15,113.03,112.90,0.13,0.12
Container Corp,621.45,610.65,615.55,614.95,0.60,0.1
Godrej Ind,"1,119.00","1,082.00","1,096.70","1,095.60",1.10,0.1
Adani Ports,"1,446.50","1,426.10","1,433.00","1,431.70",1.30,0.09
Tata Comm,"1,719.00","1,700.10","1,713.40","1,711.80",1.60,0.09
Colgate,"2,394.20","2,356.50","2,378.10","2,376.10",2.00,0.08
Devyani Int,170.00,166.20,169.47,169.33,0.14,0.08
ICICI Bank,"1,424.90","1,416.10","1,423.00","1,421.90",1.10,0.08
Manappuram Fin,265.25,259.50,263.10,262.90,0.20,0.08
Krishna Inst.,718.00,698.25,710.30,709.85,0.45,0.06
Krishna Inst.,718.00,698.25,710.30,709.85,0.45,0.06
Tube Investment,"2,916.20","2,863.30","2,871.00","2,869.80",1.20,0.04
NMDC,70.07,68.56,69.07,69.05,0.02,0.03
SBI,815.50,808.00,808.85,808.65,0.20,0.02
