company_name,high,low,last_price,prev_close,change,percent_gain
Anant Raj,470.90,447.00,470.30,439.20,31.10,7.08
MOTHERSON,130.05,125.00,126.37,118.23,8.14,6.88
Bharat Forge,"1,072.10","1,040.10","1,064.50","1,002.15",62.35,6.22
Intellect Desig,701.85,676.65,699.00,660.60,38.40,5.81
Sona BLW,464.00,450.00,454.50,430.10,24.40,5.67
360 ONE WAM,921.95,895.00,917.80,870.20,47.60,5.47
360 ONE WAM,921.95,895.00,917.80,870.20,47.60,5.47
Home First,"1,118.00","1,061.10","1,116.50","1,059.00",57.50,5.43
KPIL,946.95,905.20,944.30,896.30,48.00,5.36
Inox Wind,161.44,155.00,159.39,151.59,7.80,5.15
Bharti Hexacom,"1,582.00","1,535.00","1,581.30","1,504.75",76.55,5.09
Tata Motors,628.30,612.65,624.60,595.05,29.55,4.97
Tata Motors,628.30,612.65,624.60,595.05,29.55,4.97
Cyient,"1,198.90","1,161.20","1,197.40","1,144.20",53.20,4.65
Akums Drugs P,456.10,435.80,453.85,433.80,20.05,4.62
DLF,651.90,630.40,651.70,623.60,28.10,4.51
Mazagon Dock,"2,542.90","2,473.00","2,541.40","2,432.55",108.85,4.47
Mazagon Dock,"2,542.90","2,473.00","2,541.40","2,432.55",108.85,4.47
Suven Pharma,"1,235.90","1,155.20","1,200.40","1,149.60",50.80,4.42
HFCL,79.43,77.51,79.36,76.01,3.35,4.41
Indian Renew,161.00,158.60,160.95,154.20,6.75,4.38
Kaynes Tech,"5,325.00","5,202.00","5,314.00","5,091.15",222.85,4.38
Fortis Health,681.95,656.60,677.20,649.55,27.65,4.26
Sonata,329.05,319.30,328.55,315.55,13.00,4.12
Craftsman,"4,548.00","4,377.00","4,542.40","4,364.15",178.25,4.08
GlaxoSmithKline,"2,874.10","2,778.60","2,861.60","2,751.10",110.50,4.02
Just Dial,881.15,853.60,869.05,835.50,33.55,4.02
Sundaram Fin,"4,860.00","4,760.10","4,832.30","4,645.75",186.55,4.02
Larsen,"3,253.00","3,176.10","3,237.60","3,115.95",121.65,3.9
Concord Biotech,"1,719.90","1,674.50","1,717.90","1,653.85",64.05,3.87
UNO Minda,856.25,822.75,856.05,824.15,31.90,3.87
Sobha,"1,172.00","1,134.00","1,170.80","1,127.15",43.65,3.87
M&M,"2,685.00","2,606.00","2,679.90","2,580.35",99.55,3.86
Phoenix Mills,"1,540.70","1,497.00","1,535.00","1,478.00",57.00,3.86
Jubilant Ing.,660.00,649.40,658.70,634.30,24.40,3.85
eClerx Services,"2,499.90","2,420.00","2,493.10","2,402.20",90.90,3.78
KEC Intl,694.80,666.80,685.00,660.05,24.95,3.78
Ircon Internati,155.91,153.05,155.13,149.60,5.53,3.7
Ircon Internati,155.91,153.05,155.13,149.60,5.53,3.7
AstraZeneca,"8,788.00","8,485.50","8,768.50","8,457.40",311.10,3.68
Shriram Finance,664.95,649.15,662.30,638.80,23.50,3.68
Shriram Finance,664.95,649.15,662.30,638.80,23.50,3.68
HDFC Bank,"1,874.50","1,855.00","1,872.30","1,806.75",65.55,3.63
Amber Enterpris,"6,864.00","6,735.50","6,765.50","6,530.05",235.45,3.61
