company_name,high,low,last_price,prev_close,change,percent_gain
MRPL,156.50,144.06,155.89,144.81,11.08,7.65
Ola Electric,43.95,39.90,43.05,40.17,2.88,7.17
Elgi Equipments,596.70,552.05,589.75,554.20,35.55,6.41
CreditAccess Gr,"1,374.50","1,253.40","1,354.90","1,279.70",75.20,5.88
JM Financial,180.65,169.07,179.59,170.24,9.35,5.49
Godrej Agrovet,852.95,810.60,848.60,810.35,38.25,4.72
Olectra Greente,"1,339.80","1,270.10","1,327.30","1,271.50",55.80,4.39
Mah Seamless,738.00,705.30,734.95,704.85,30.10,4.27
Gland,"2,051.00","1,955.00","2,038.00","1,961.80",76.20,3.88
Castrol,229.70,220.10,228.66,220.24,8.42,3.82
Shipping Corp,225.20,216.50,224.67,216.65,8.02,3.7
Premier Energie,"1,106.00","1,040.40","1,089.90","1,051.80",38.10,3.62
Bikaji Foods,794.40,756.25,788.65,762.80,25.85,3.39
Sona BLW,492.00,468.10,489.00,472.95,16.05,3.39
NAVA,637.00,608.00,630.65,610.90,19.75,3.23
KPR Mill,"1,245.90","1,197.00","1,239.90","1,201.30",38.60,3.21
Netweb,"1,985.00","1,875.60","1,956.30","1,895.80",60.50,3.19
Kalyan Jeweller,617.65,588.25,611.80,593.05,18.75,3.16
DCM Shriram,"1,455.90","1,383.60","1,442.10","1,398.40",43.70,3.13
IRFC,136.80,133.04,134.85,130.77,4.08,3.12
Sagility India,44.99,43.51,44.88,43.53,1.35,3.1
Finolex Ind,209.89,202.50,207.93,201.78,6.15,3.05
Max Healthcare,"1,258.00","1,209.90","1,255.40","1,218.80",36.60,3
Waaree Energies,"3,196.90","3,071.00","3,188.90","3,100.90",88.00,2.84
Dixon Technolog,"16,669.00","16,208.00","16,556.00","16,112.00",444.00,2.76
IGIL,407.95,394.50,404.90,394.40,10.50,2.66
Sapphire Foods,356.75,320.25,344.20,335.35,8.85,2.64
Sapphire Foods,356.75,320.25,344.20,335.35,8.85,2.64
Concord Biotech,"1,953.60","1,870.10","1,943.90","1,894.50",49.40,2.61
