company_name,high,low,last_price,prev_close,change,percent_gain
Swan Energy,513.90,451.75,502.25,450.95,51.30,11.38
Fert and Chem,989.00,912.05,976.45,904.25,72.20,7.98
Sobha,"1,680.00","1,550.00","1,647.60","1,544.90",102.70,6.65
Anant Raj,616.50,569.15,607.20,571.50,35.70,6.25
Authum Invest,"2,830.00","2,506.10","2,754.80","2,612.70",142.10,5.44
Neuland Lab,"15,500.00","14,374.00","15,273.00","14,548.00",725.00,4.98
Hero Motocorp,"4,465.00","4,260.10","4,454.00","4,251.70",202.30,4.76
Nippon,850.85,811.70,845.60,809.70,35.90,4.43
SUMITOMO,569.95,545.05,565.85,542.45,23.40,4.31
KEI Industries,"3,900.00","3,748.80","3,892.40","3,732.60",159.80,4.28
Patanjali Foods,"1,752.30","1,672.00","1,744.50","1,673.70",70.80,4.23
TBO Tek,"1,410.70","1,344.10","1,404.20","1,347.40",56.80,4.22
Piramal Pharma,217.90,208.89,216.22,207.88,8.34,4.01
Aadhar Housing ,488.65,454.60,477.90,459.95,17.95,3.9
CG Consumer,353.15,339.50,351.85,338.65,13.20,3.9
DOMS Industries,"2,435.00","2,340.20","2,421.60","2,333.50",88.10,3.78
HDFC AMC,"5,300.00","5,110.50","5,283.50","5,091.50",192.00,3.77
Chalet Hotels,906.90,866.00,898.70,867.90,30.80,3.55
Natco Pharma,"1,018.00",970.15,"1,011.60",976.90,34.70,3.55
Honasa Consumer,301.00,290.40,299.60,289.40,10.20,3.52
Apar Ind,"9,090.00","8,752.50","9,040.50","8,736.00",304.50,3.49
BSE Limited,"2,554.20","2,444.80","2,546.00","2,460.70",85.30,3.47
Godfrey Phillip,"9,828.00","9,026.00","9,360.00","9,051.00",309.00,3.41
Rashtriya Chem,158.92,152.00,156.36,151.38,4.98,3.29
Schneider Infra,872.80,840.00,870.30,842.80,27.50,3.26
Tata Elxsi,"6,425.00","6,180.00","6,380.00","6,179.00",201.00,3.25
PG Electroplast,813.90,783.90,808.90,783.65,25.25,3.22
