company_name,high,low,last_price,prev_close,change,percent_gain
Sona BLW,494.00,455.30,486.00,455.05,30.95,6.8
Thermax,"4,091.80","3,701.00","3,885.90","3,645.80",240.1,6.59
AWL Agri,283.70,263.95,278.30,262.35,15.95,6.08
Alok Industries,23.25,20.79,22.04,20.79,1.25,6.01
Hitachi Energy,"19,570.00","18,600.00","19,490.00","18,560.00",930,5.01
R R Kabel,"1,489.90","1,394.00","1,461.80","1,392.40",69.4,4.98
Craftsman,"6,533.50","6,201.50","6,490.50","6,201.00",289.5,4.67
Concord Biotech,"1,942.90","1,835.30","1,920.50","1,838.60",81.9,4.45
Nuvama Wealth,"7,895.00","7,530.50","7,818.50","7,504.00",314.5,4.19
Kajaria Ceramic,"1,234.70","1,188.10","1,228.90","1,183.60",45.3,3.83
Authum Invest,"2,805.00","2,700.90","2,793.50","2,692.10",101.4,3.77
Prestige Estate,"1,797.70","1,718.00","1,783.20","1,718.60",64.6,3.76
Chalet Hotels,934.80,894.80,922.25,890.00,32.25,3.62
GE Vernova TD,"2,451.60","2,339.10","2,417.10","2,334.90",82.2,3.52
Balkrishna Ind,"2,779.00","2,643.00","2,742.10","2,652.90",89.2,3.36
Anand Rathi,"2,618.00","2,506.60","2,586.50","2,504.50",82,3.27
HEG,557.00,533.20,550.45,533.20,17.25,3.24
HEG,557.00,533.20,550.45,533.20,17.25,3.24
UPL,697.45,670.55,692.65,671.45,21.2,3.16
Cohance Life,"1,121.15","1,067.00","1,097.00","1,063.80",33.2,3.12
Mahanagar Gas,"1,525.90","1,481.00","1,522.80","1,478.90",43.9,2.97
HDFC AMC,"5,548.50","5,342.50","5,510.00","5,353.50",156.5,2.92
Godawari Power,197.61,188.00,191.48,186.22,5.26,2.82
Godawari Power,197.61,188.00,191.48,186.22,5.26,2.82
Praj Industries,512.00,492.70,505.90,492.15,13.75,2.79
eClerx Services,"3,710.00","3,572.00","3,669.10","3,572.00",97.1,2.72
SKF India,"4,969.90","4,835.50","4,949.50","4,819.80",129.7,2.69
Patanjali Foods,"1,922.60","1,846.10","1,909.30","1,859.60",49.7,2.67
Sobha,"1,702.00","1,652.00","1,694.40","1,650.60",43.8,2.65
Asahi India,876.40,847.90,873.05,850.70,22.35,2.63
BASF,"5,148.00","4,972.50","5,123.00","4,992.00",131,2.62
Minda Corp,542.30,524.95,536.50,522.85,13.65,2.61
Welspun Corp,941.00,906.30,931.90,908.40,23.5,2.59
Sapphire Foods,349.80,333.85,342.50,333.90,8.6,2.58
Sapphire Foods,349.80,333.85,342.50,333.90,8.6,2.58
Berger Paints,583.00,565.30,579.25,564.90,14.35,2.54
PNC Infratech,331.80,316.00,319.10,311.25,7.85,2.52
AstraZeneca,"9,439.00","9,221.00","9,394.00","9,170.50",223.5,2.44
Syrma SGS,719.80,698.00,714.25,697.30,16.95,2.43
V-Guard Ind,406.85,394.55,404.15,394.75,9.4,2.38
JK Tyre Ind,381.80,367.55,375.80,367.10,8.7,2.37
Olectra Greente,"1,298.80","1,246.00","1,275.30","1,246.20",29.1,2.34
Vedant Fashions,824.35,793.10,810.10,791.60,18.5,2.34
TATA Cons. Prod,"1,109.70","1,080.00","1,105.80","1,081.50",24.3,2.25
Whirlpool,"1,410.00","1,363.00","1,404.80","1,374.20",30.6,2.23
Godrej Prop,"2,349.90","2,292.10","2,337.00","2,289.10",47.9,2.09
Varun Beverages,492.90,481.30,490.15,480.10,10.05,2.09
Varun Beverages,492.90,481.30,490.15,480.10,10.05,2.09
Varun Beverages,492.90,481.30,490.15,480.10,10.05,2.09
CG Power ,693.95,676.70,689.35,675.35,14,2.07
Jindal Steel,953.00,929.85,950.45,931.45,19,2.04
Schneider Infra,916.00,889.00,903.70,886.00,17.7,2
Sundram,"1,041.90","1,016.70","1,036.60","1,016.60",20,1.97
Shyam Metalics,929.00,902.40,919.80,902.40,17.4,1.93
Campus Active,294.50,287.00,293.55,288.05,5.5,1.91
Fortis Health,812.85,795.35,810.25,795.15,15.1,1.9
Bombay Burmah,"2,074.00","2,000.00","2,033.20","1,995.50",37.7,1.89
Sundaram Fin,"5,140.00","5,028.00","5,133.50","5,038.50",95,1.89
Gland,"2,027.00","1,948.00","2,007.70","1,970.90",36.8,1.87
Piramal Enter,"1,342.10","1,303.70","1,339.30","1,314.90",24.4,1.86
Sterling Wilson,340.90,325.25,335.10,329.00,6.1,1.85
Cera Sanitary,"7,100.00","6,859.50","7,052.50","6,925.50",127,1.83
AIA Engineering,"3,465.00","3,377.50","3,447.50","3,386.00",61.5,1.82
India Cements,354.85,343.35,350.75,344.65,6.1,1.77
Kalyan Jeweller,609.50,589.70,600.50,590.20,10.3,1.75
Elgi Equipments,559.95,544.20,553.60,544.15,9.45,1.74
Gillette India,"11,270.00","10,950.00","11,140.00","10,952.00",188,1.72
Vijaya Diagnost,"1,049.00","1,026.35","1,046.05","1,028.60",17.45,1.7
Chola Fin Hold,"2,169.00","2,110.00","2,140.40","2,104.90",35.5,1.69
SUMITOMO,597.05,581.60,595.25,585.50,9.75,1.67
Jubilant Ing.,851.80,819.15,834.55,820.95,13.6,1.66
Tata Steel,160.70,157.12,159.90,157.33,2.57,1.63
Escorts Kubota,"3,422.40","3,355.90","3,410.90","3,357.00",53.9,1.61
ZFCVINDIA,"13,310.00","13,001.00","13,275.00","13,066.00",209,1.6
ABB India,"5,664.00","5,468.00","5,637.50","5,551.00",86.5,1.56
Brigade Ent,"1,142.00","1,109.10","1,131.80","1,115.00",16.8,1.51
Trident,32.24,31.44,31.84,31.37,0.47,1.5
LT Technology,"4,500.00","4,345.60","4,411.60","4,346.80",64.8,1.49
Zen Tech,"1,869.80","1,830.80","1,861.10","1,833.80",27.3,1.49
Caplin Labs,"2,125.00","2,071.00","2,109.50","2,079.30",30.2,1.45
Phoenix Mills,"1,515.10","1,484.80","1,502.40","1,480.90",21.5,1.45
Zydus Life,984.95,972.35,982.75,968.90,13.85,1.43
Godrej Agrovet,795.00,777.70,788.35,777.65,10.7,1.38
Sai Life Sci,836.30,811.75,823.30,812.10,11.2,1.38
Hind Copper,268.20,263.35,267.65,264.05,3.6,1.36
LT Foods,518.55,502.50,509.05,502.20,6.85,1.36
Poly Medicure,"2,147.60","2,081.00","2,134.80","2,106.20",28.6,1.36
Saregama India,488.95,481.05,487.10,480.60,6.5,1.35
NMDC,69.75,68.78,69.56,68.64,0.92,1.34
Lupin,"1,961.60","1,935.00","1,955.70","1,930.10",25.6,1.33
Torrent Pharma,"3,545.00","3,466.00","3,504.60","3,459.50",45.1,1.3
Guj State Petro,337.00,330.95,335.80,331.55,4.25,1.28
SBI Card,910.50,896.05,908.80,897.35,11.45,1.28
JSW Holdings,"22,420.00","21,780.00","22,310.00","22,035.00",275,1.25
Intellect Desig,"1,210.00","1,173.20","1,197.70","1,183.20",14.5,1.23
Usha Martin,390.00,382.30,386.35,381.65,4.7,1.23
Deepak Fert,"1,610.70","1,571.20","1,605.40","1,586.10",19.3,1.22
Oberoi Realty,"1,847.80","1,818.60","1,838.70","1,816.50",22.2,1.22
Blue Star,"1,922.40","1,857.60","1,882.60","1,860.60",22,1.18
Hindalco,678.00,668.40,674.55,666.75,7.8,1.17
Dalmia Bharat,"2,192.90","2,138.00","2,189.60","2,164.20",25.4,1.17
Natco Pharma,"1,058.90","1,014.00","1,032.75","1,021.35",11.4,1.12
Adani Green Ene,"1,054.90","1,033.40","1,050.10","1,038.60",11.5,1.11
EIH,393.40,381.25,384.50,380.40,4.1,1.08
KEI Industries,"3,984.70","3,869.70","3,933.30","3,891.10",42.2,1.08
Devyani Int,176.55,173.40,175.21,173.38,1.83,1.06
Godrej Consumer,"1,283.00","1,262.40","1,278.20","1,264.80",13.4,1.06
TBO Tek,"1,427.10","1,395.60","1,424.80","1,409.90",14.9,1.06
APTUS VALUE,346.80,335.20,344.65,341.10,3.55,1.04
Alembic Pharma,"1,043.00","1,020.00","1,036.00","1,025.40",10.6,1.03
Niva Bupa Healt,92.90,89.40,90.76,89.84,0.92,1.02
Kansai Nerolac,250.05,247.35,249.75,247.25,2.5,1.01
Delhivery,426.50,417.30,425.30,421.15,4.15,0.99
Glenmark,"2,266.00","2,179.00","2,226.70","2,204.80",21.9,0.99
Sammaan Capital,133.68,129.93,130.93,129.65,1.28,0.99
Latent View,437.90,431.70,434.80,430.60,4.2,0.98
Piramal Pharma,220.85,214.01,216.88,214.86,2.02,0.94
AAVAS Financier,"1,960.70","1,915.60","1,927.80","1,910.40",17.4,0.91
Timken,"3,448.00","3,382.00","3,437.80","3,407.10",30.7,0.9
Ramco Cements,"1,189.60","1,148.90","1,177.20","1,166.90",10.3,0.88
Can Fin Homes,823.90,807.25,818.70,811.60,7.1,0.87
Angel One,"2,795.40","2,709.20","2,740.10","2,716.80",23.3,0.86
Neuland Lab,"14,630.00","14,125.00","14,503.00","14,381.00",122,0.85
Astral Ltd,"1,521.00","1,490.70","1,505.10","1,492.60",12.5,0.84
GMR Airports,95.36,94.00,94.68,93.89,0.79,0.84
Garden Reach Sh,"2,664.00","2,587.40","2,646.40","2,624.40",22,0.84
Ipca Labs,"1,480.50","1,451.80","1,474.10","1,461.80",12.3,0.84
Bandhan Bank,185.90,182.40,185.19,183.68,1.51,0.82
CCL Products,891.10,878.00,888.60,881.35,7.25,0.82
FSN E-Co Nykaa,220.00,215.15,217.47,215.70,1.77,0.82
Happiest Minds ,640.65,630.25,635.35,630.20,5.15,0.82
Aegis Logistics,756.25,746.10,751.55,745.60,5.95,0.8
CAMS,"4,276.00","4,212.10","4,239.60","4,207.20",32.4,0.77
Lemon Tree,156.95,154.01,155.00,153.82,1.18,0.77
PI Industries,"4,145.30","4,073.90","4,135.80","4,104.40",31.4,0.77
Colgate,"2,403.00","2,377.20","2,398.00","2,380.40",17.6,0.74
Capri Global,183.78,180.18,182.70,181.42,1.28,0.71
Capri Global,183.78,180.18,182.70,181.42,1.28,0.71
Supreme Ind,"4,274.90","4,222.50","4,265.80","4,235.90",29.9,0.71
HBL Eng,616.30,606.65,610.30,606.05,4.25,0.7
United Brewerie,"2,038.00","2,010.00","2,023.70","2,009.60",14.1,0.7
Himadri Special,522.50,513.00,517.70,514.15,3.55,0.69
Siemens,"3,134.60","3,038.50","3,110.30","3,089.30",21,0.68
360 ONE WAM,"1,209.70","1,189.30","1,205.60","1,197.60",8,0.67
360 ONE WAM,"1,209.70","1,189.30","1,205.60","1,197.60",8,0.67
Trent,"5,455.00","5,375.00","5,417.50","5,382.00",35.5,0.66
Apollo Tyres,473.00,455.25,458.15,455.20,2.95,0.65
NAVA,623.80,611.20,615.95,612.05,3.9,0.64
Alkyl Amines,"2,348.80","2,309.00","2,324.00","2,309.50",14.5,0.63
Biocon,398.80,392.65,397.00,394.65,2.35,0.6
Gujarat Fluoro,"3,457.90","3,419.10","3,443.80","3,423.40",20.4,0.6
NALCO,191.30,188.30,189.12,188.02,1.1,0.59
Firstsource Sol,357.90,354.05,356.85,354.90,1.95,0.55
Granules India,511.75,501.05,502.45,499.70,2.75,0.55
JB Chemicals,"1,670.70","1,648.80","1,664.10","1,655.10",9,0.54
JB Chemicals,"1,670.70","1,648.80","1,664.10","1,655.10",9,0.54
Mankind Pharma,"2,670.00","2,626.70","2,639.30","2,625.50",13.8,0.53
Jubilant Pharmo,"1,204.40","1,177.50","1,200.80","1,194.50",6.3,0.53
GAIL,186.10,184.10,185.29,184.33,0.96,0.52
Chambal Fert,559.00,546.40,554.90,552.10,2.8,0.51
Emcure Pharmace,"1,394.80","1,360.50","1,369.50","1,362.50",7,0.51
Narayana Hruda,"1,989.00","1,951.30","1,961.30","1,951.30",10,0.51
Gujarat Gas,479.00,473.20,477.00,474.65,2.35,0.5
Global Health,"1,349.00","1,332.00","1,345.10","1,338.40",6.7,0.5
Havells India,"1,537.00","1,522.30","1,532.60","1,525.00",7.6,0.5
Redington,310.20,305.40,308.55,307.00,1.55,0.5
Cummins,"3,605.00","3,547.60","3,584.80","3,567.60",17.2,0.48
GE Shipping,998.70,985.60,995.15,990.40,4.75,0.48
KNR Construct,224.75,221.70,223.28,222.21,1.07,0.48
Titan Company,"3,448.00","3,416.50","3,433.30","3,417.30",16,0.47
Cipla,"1,489.00","1,472.00","1,482.40","1,475.80",6.6,0.45
Hind Zinc,439.10,435.25,437.10,435.20,1.9,0.44
Jindal Stainles,683.35,672.65,678.85,675.90,2.95,0.44
Bosch,"38,855.00","38,275.00","38,645.00","38,475.00",170,0.44
Tata Comm,"1,737.90","1,705.00","1,731.60","1,724.10",7.5,0.44
CenturyPlyboard,730.00,721.60,727.55,724.45,3.1,0.43
Hero Motocorp,"4,463.90","4,412.00","4,443.60","4,424.50",19.1,0.43
Inox Wind,169.30,166.13,167.18,166.46,0.72,0.43
JSW Steel,"1,041.70","1,023.50","1,034.20","1,029.80",4.4,0.43
Eicher Motors,"5,683.00","5,628.00","5,650.00","5,626.50",23.5,0.42
ONGC,244.56,242.82,243.87,242.85,1.02,0.42
Vardhman Text,506.60,497.05,502.15,500.10,2.05,0.41
Emami,592.95,583.70,588.45,586.10,2.35,0.4
Syngene Intl,678.00,668.00,670.40,667.75,2.65,0.4
Tata Motors,686.90,678.15,681.70,679.00,2.7,0.4
Tata Motors,686.90,678.15,681.70,679.00,2.7,0.4
IOB,40.24,39.61,39.83,39.68,0.15,0.38
Transformers,525.65,511.00,515.30,513.35,1.95,0.38
Indian Hotels,760.85,749.90,753.95,751.20,2.75,0.37
Muthoot Finance,"2,664.00","2,627.20","2,660.00","2,650.20",9.8,0.37
MRPL,149.19,146.14,147.50,146.96,0.54,0.37
Britannia,"5,860.00","5,785.50","5,807.50","5,786.50",21,0.36
Chola Invest.,"1,570.60","1,550.00","1,564.30","1,559.00",5.3,0.34
JBM Auto,657.00,643.70,646.65,644.45,2.2,0.34
Premier Energie,"1,091.00","1,073.50","1,080.30","1,076.60",3.7,0.34
UltraTechCement,"12,548.00","12,432.00","12,495.00","12,453.00",42,0.34
Alkem Lab,"5,036.20","4,995.50","5,018.70","5,002.20",16.5,0.33
