company_name,high,low,last_price,prev_close,change,percent_gain
Jaiprakash Pow,20.75,17.80,20.28,17.64,2.64,14.97
LT Technology,"4,460.00","4,085.00","4,440.00","4,074.50",365.5,8.97
Linde India,"6,122.50","5,678.00","6,076.50","5,695.50",381,6.69
Latent View,500.80,471.15,494.25,469.90,24.35,5.18
Intellect Desig,"1,172.40","1,100.00","1,142.80","1,088.30",54.5,5.01
Endurance Techn,"2,750.00","2,616.10","2,736.70","2,615.10",121.6,4.65
Max Healthcare,"1,170.40","1,104.90","1,164.40","1,116.70",47.7,4.27
HCL Tech,"1,669.50","1,588.60","1,662.60","1,595.20",67.4,4.23
COFORGE,"1,865.70","1,775.80","1,858.20","1,784.30",73.9,4.14
J. K. Cement,"5,724.50","5,500.00","5,707.00","5,487.00",220,4.01
360 ONE WAM,"1,125.80","1,066.90","1,119.90","1,078.00",41.9,3.89
Persistent,"6,342.00","6,076.00","6,316.00","6,079.50",236.5,3.89
Sona BLW,508.40,489.80,506.95,488.55,18.4,3.77
LTIMindtree,"6,039.00","5,789.00","5,972.00","5,756.00",216,3.75
Infosys,"1,543.00","1,490.50","1,541.10","1,486.40",54.7,3.68
Bharat Forge,"1,453.50","1,396.70","1,446.20","1,396.60",49.6,3.55
Westlife Food,569.95,531.20,561.85,543.10,18.75,3.45
Aditya Birla Re,"1,833.10","1,731.30","1,806.10","1,748.70",57.4,3.28
Rainbow Child,"1,346.80","1,297.40","1,341.20","1,300.40",40.8,3.14
Kirloskar Oil,"1,185.50","1,136.60","1,177.20","1,141.60",35.6,3.12
Birlasoft,398.75,377.95,391.30,379.85,11.45,3.01
MOTHERSON,112.99,108.45,112.16,108.96,3.2,2.94
PB Fintech,"1,866.50","1,798.40","1,851.80","1,800.30",51.5,2.86
Info Edge,"1,364.00","1,318.00","1,362.20","1,324.90",37.3,2.82
Jindal Stainles,774.00,751.80,771.30,751.00,20.3,2.7
ZFCVINDIA,"13,144.00","12,658.00","12,963.00","12,631.00",332,2.63
Deepak Fert,"1,459.80","1,420.50","1,449.00","1,412.70",36.3,2.57
Nippon,885.00,858.00,884.10,862.25,21.85,2.53
AWL Agri,277.00,267.30,275.70,269.15,6.55,2.43
Ajanta Pharma,"2,525.00","2,446.80","2,517.70","2,458.10",59.6,2.42
Vishal Mega Mar,138.93,134.61,137.25,134.10,3.15,2.35
Firstsource Sol,371.75,356.25,367.20,358.80,8.4,2.34
Schneider Infra,786.00,756.35,782.20,764.30,17.9,2.34
BSE Limited,"2,914.60","2,825.00","2,898.30","2,834.10",64.2,2.27
Eris Life,"1,615.00","1,551.90","1,610.90","1,575.70",35.2,2.23
Cyient,"1,156.40","1,122.00","1,152.60","1,127.90",24.7,2.19
PNB,125.45,121.65,125.06,122.38,2.68,2.19
MM Financial,333.50,321.20,329.90,322.90,7,2.17
Wipro,246.85,240.54,246.04,240.90,5.14,2.13
BASF,"4,434.30","4,309.30","4,410.30","4,319.00",91.3,2.11
MphasiS,"2,725.90","2,665.40","2,713.70","2,658.50",55.2,2.08
IDBI Bank,105.00,101.90,104.62,102.52,2.1,2.05
Godfrey Phillip,"2,967.00","2,866.10","2,938.30","2,879.50",58.8,2.04
Narayana Hruda,"2,030.00","1,922.70","1,991.20","1,951.70",39.5,2.02
Honasa Consumer,295.20,284.10,293.75,288.10,5.65,1.96
TCS,"3,155.00","3,083.50","3,147.70","3,087.10",60.6,1.96
Natco Pharma,848.00,811.40,830.15,814.55,15.6,1.92
Oracle Fin Serv,"8,372.00","8,165.00","8,333.00","8,177.50",155.5,1.9
IGIL,337.50,315.40,326.20,320.60,5.6,1.75
Ipca Labs,"1,458.70","1,410.00","1,447.40","1,422.90",24.5,1.72
Indegene,516.00,503.70,514.70,506.05,8.65,1.71
Kalyan Jeweller,500.80,487.75,499.05,490.65,8.4,1.71
Minda Corp,619.00,593.00,605.30,595.25,10.05,1.69
Bank of Baroda,293.80,287.00,293.30,288.45,4.85,1.68
JK Bank,109.65,106.01,108.87,107.10,1.77,1.65
LT Foods,421.00,407.95,414.60,407.90,6.7,1.64
KPIL,"1,245.00","1,210.40","1,233.50","1,213.70",19.8,1.63
GE Vernova TD,"3,060.00","2,973.70","3,044.20","2,996.00",48.2,1.61
HUL,"2,450.70","2,411.00","2,441.60","2,404.00",37.6,1.56
Dalmia Bharat,"2,035.10","1,982.00","2,021.30","1,991.00",30.3,1.52
Sun Pharma,"1,790.30","1,751.10","1,784.60","1,758.80",25.8,1.47
Kaynes Tech,"5,996.50","5,778.50","5,974.00","5,889.00",85,1.44
Bank of India,148.77,145.32,148.59,146.49,2.1,1.43
CCL Products,"1,039.30","1,016.80","1,032.70","1,018.35",14.35,1.41
MCX India,"9,839.00","9,650.00","9,799.00","9,665.00",134,1.39
Titan Company,"3,940.50","3,862.40","3,933.10","3,879.20",53.9,1.39
Adani Power,152.66,150.09,151.61,149.55,2.06,1.38
India Cements,424.00,409.05,416.90,411.30,5.6,1.36
Eicher Motors,"6,908.50","6,760.00","6,906.50","6,814.50",92,1.35
Tata Elxsi,"5,385.00","5,251.50","5,347.50","5,277.00",70.5,1.34
Hero Motocorp,"5,916.50","5,835.00","5,876.50","5,799.50",77,1.33
Hyundai Motor,"2,430.00","2,353.90","2,421.10","2,389.80",31.3,1.31
Sundaram Fin,"4,720.00","4,604.90","4,713.60","4,653.10",60.5,1.3
Raymond,512.00,493.45,507.35,500.90,6.45,1.29
Voltas,"1,404.50","1,383.60","1,401.80","1,384.20",17.6,1.27
Central Bank,39.60,38.51,39.41,38.92,0.49,1.26
GlaxoSmithKline,"2,526.40","2,471.40","2,519.00","2,487.90",31.1,1.25
Sonata,376.90,362.60,370.05,365.50,4.55,1.24
Swan Corp,479.00,460.10,470.00,464.30,5.7,1.23
Redington,295.45,289.25,293.95,290.40,3.55,1.22
Chalet Hotels,890.50,875.00,885.95,875.35,10.6,1.21
Raymond Life,"1,148.50","1,111.60","1,129.50","1,116.00",13.5,1.21
Triveni Turbine,548.55,534.00,546.70,540.15,6.55,1.21
Alok Industries,17.42,17.01,17.26,17.06,0.2,1.17
