company_name,high,low,last_price,prev_close,change,percent_gain
LT Foods,448.80,402.25,441.70,405.60,36.10,8.9
JM Financial,155.00,140.80,150.29,139.44,10.85,7.78
Usha Martin,338.25,313.25,332.05,310.15,21.90,7.06
TITAGARH,929.00,890.00,922.85,875.95,46.90,5.35
Capri Global,179.01,169.50,176.52,167.85,8.67,5.17
Capri Global,179.01,169.50,176.52,167.85,8.67,5.17
GE Vernova TD,"2,439.70","2,340.10","2,439.50","2,323.60",115.90,4.99
Syrma SGS,541.75,507.10,527.80,503.30,24.50,4.87
Kajaria Ceramic,"1,115.80","1,051.10","1,105.30","1,054.10",51.20,4.86
Vodafone Idea,7.03,6.64,6.86,6.55,0.31,4.73
Delhivery,379.85,362.30,377.05,360.55,16.50,4.58
Swan Energy,462.00,434.00,445.70,426.45,19.25,4.51
HBL Eng,608.90,574.05,591.15,566.30,24.85,4.39
Timken,"3,509.10","3,289.50","3,387.50","3,248.20",139.30,4.29
JK Bank,111.70,103.66,106.58,102.26,4.32,4.22
Anant Raj,548.00,529.05,539.80,518.80,21.00,4.05
SBFC Finance,108.58,104.01,107.57,103.42,4.15,4.01
PG Electroplast,772.90,745.00,764.45,735.30,29.15,3.96
PG Electroplast,772.90,745.00,764.45,735.30,29.15,3.96
CCL Products,858.00,809.25,850.35,820.20,30.15,3.68
Hyundai Motor,"2,084.00","2,002.80","2,071.40","1,999.60",71.80,3.59
LT Finance,201.50,193.66,200.06,193.29,6.77,3.5
Ambuja Cements,562.80,539.00,554.20,535.55,18.65,3.48
Happiest Minds ,657.40,622.90,642.45,621.00,21.45,3.45
Can Fin Homes,792.00,765.00,789.35,763.30,26.05,3.41
Redington,302.45,293.95,299.40,289.70,9.70,3.35
Bharti Hexacom,"1,865.00","1,801.50","1,855.50","1,796.00",59.50,3.31
HINDPETRO,414.80,403.90,406.25,393.25,13.00,3.31
Schneider Infra,789.00,758.10,783.45,758.50,24.95,3.29
INDUS TOWERS,416.90,405.00,415.05,401.90,13.15,3.27
SAIL,132.85,128.05,130.74,126.60,4.14,3.27
Action Const,"1,225.00","1,180.20","1,203.80","1,167.10",36.70,3.14
CreditAccess Gr,"1,178.80","1,137.00","1,161.90","1,126.60",35.30,3.13
Motilal Oswal,865.00,838.55,860.35,834.35,26.00,3.12
IGIL,362.50,349.10,355.65,344.95,10.70,3.1
Vishal Mega Mar,134.48,126.58,133.02,129.11,3.91,3.03
Welspun Living,134.70,128.45,131.24,127.38,3.86,3.03
MM Financial,270.55,263.55,269.00,261.15,7.85,3.01
Welspun Corp,921.10,891.90,912.70,886.00,26.70,3.01
Union Bank,148.78,144.94,147.09,142.84,4.25,2.98
Coromandel Int,"2,420.00","2,300.00","2,389.10","2,320.10",69.00,2.97
Piramal Pharma,202.75,195.50,199.97,194.29,5.68,2.92
AAVAS Financier,"1,908.00","1,840.00","1,892.80","1,839.30",53.50,2.91
APTUS VALUE,324.70,315.15,323.40,314.25,9.15,2.91
Go Digit,360.00,346.75,356.00,345.95,10.05,2.91
J. K. Cement,"5,900.00","5,668.50","5,832.50","5,668.50",164.00,2.89
Home First,"1,363.40","1,305.00","1,340.70","1,303.50",37.20,2.85
IEX,189.52,184.15,187.77,182.58,5.19,2.84
Gillette India,"10,400.00","9,950.00","10,321.00","10,036.00",285.00,2.84
Sagility India,42.06,40.75,41.43,40.29,1.14,2.83
Godawari Power,182.10,178.27,181.59,176.61,4.98,2.82
Godawari Power,182.10,178.27,181.59,176.61,4.98,2.82
Adani Green Ene,"1,001.90",974.00,987.30,960.50,26.80,2.79
Rattanindia Ent,61.50,58.00,58.90,57.32,1.58,2.76
SBI Card,985.95,964.20,982.10,955.90,26.20,2.74
Oberoi Realty,"2,003.00","1,933.50","1,988.00","1,936.00",52.00,2.69
Jaiprakash Pow,17.70,17.07,17.36,16.91,0.45,2.66
Jio Financial,304.40,297.10,300.80,293.15,7.65,2.61
Bayer CropScien,"5,726.00","5,500.00","5,654.50","5,511.00",143.50,2.6
Canara Bank,111.44,109.31,110.61,107.82,2.79,2.59
Canara Bank,111.44,109.31,110.61,107.82,2.79,2.59
Gravita India,"1,739.60","1,694.20","1,727.60","1,684.00",43.60,2.59
Adani Ports,"1,418.70","1,385.10","1,389.50","1,354.80",34.70,2.56
DOMS Industries,"2,521.20","2,450.00","2,498.70","2,436.50",62.20,2.55
Interglobe Avi,"5,700.50","5,570.00","5,606.50","5,467.00",139.50,2.55
Suzlon Energy,64.67,63.26,64.39,62.79,1.60,2.55
Firstsource Sol,388.00,380.00,386.55,377.00,9.55,2.53
HDFC AMC,"5,095.00","4,983.70","5,063.40","4,938.50",124.90,2.53
Authum Invest,"2,720.00","2,599.80","2,664.90","2,599.80",65.10,2.5
AB Capital,274.30,266.20,271.19,264.62,6.57,2.48
