company_name,high,low,last_price,prev_close,change,percent_gain
Poly Medicure,"3,158.60","2,917.45","3,141.40","2,874.30",267.1,9.29
Brigade Ent,"1,284.70","1,211.05","1,257.55","1,178.80",78.75,6.68
Piramal Pharma,284.50,271.45,283.15,268.47,14.68,5.47
Motilal Oswal,989.15,945.85,982.00,937.30,44.7,4.77
Jubilant Pharmo,"1,279.75","1,225.00","1,264.65","1,211.75",52.9,4.37
Whirlpool,"2,095.00","1,986.00","2,075.90","1,989.30",86.6,4.35
Vodafone Idea,8.53,8.23,8.47,8.12,0.35,4.31
NCC,317.95,311.40,311.60,298.80,12.8,4.28
IIFL Finance,456.30,437.90,454.85,436.80,18.05,4.13
PCBL,442.00,416.10,427.10,410.95,16.15,3.93
RBL Bank,176.49,170.01,176.20,169.75,6.45,3.8
EIH,380.10,365.15,377.75,364.45,13.3,3.65
M&M,"2,825.00","2,780.00","2,821.25","2,728.55",92.7,3.4
IRB Infra,53.58,52.90,53.56,51.85,1.71,3.3
IRB Infra,53.58,52.90,53.56,51.85,1.71,3.3
PNB,101.17,98.61,101.05,97.90,3.15,3.22
Sterling Wilson,603.35,587.95,602.90,584.70,18.2,3.11
Zomato,250.00,244.15,249.08,241.75,7.33,3.03
Bharat Dynamics,"1,119.90","1,089.00","1,116.90","1,085.30",31.6,2.91
Bharat Dynamics,"1,119.90","1,089.00","1,116.90","1,085.30",31.6,2.91
Campus Active,304.40,297.20,303.55,295.00,8.55,2.9
NBCC (India),100.90,97.55,99.96,97.19,2.77,2.85
Aarti Ind,528.35,512.00,524.60,510.90,13.7,2.68
Birla Corp,"1,199.95","1,171.00","1,198.60","1,168.05",30.55,2.62
JK Lakshmi Cem,834.60,810.45,831.00,810.20,20.8,2.57
MRPL,151.99,148.61,151.47,147.76,3.71,2.51
Tanla Platforms,784.00,750.50,770.60,752.20,18.4,2.45
Blue Star,"1,924.40","1,880.00","1,916.50","1,871.05",45.45,2.43
Chennai Petro,656.60,647.05,655.05,639.70,15.35,2.4
SAIL,118.80,116.36,118.50,115.75,2.75,2.38
Westlife Food,779.95,758.00,778.15,760.20,17.95,2.36
Tata Tech,"1,031.00","1,012.00","1,030.00","1,006.30",23.7,2.36
Nuvoco Vistas,362.65,353.70,361.00,352.70,8.3,2.35
Borosil Renew,462.00,447.50,456.95,446.60,10.35,2.32
Chalet Hotels,907.85,880.00,891.00,870.90,20.1,2.31
HEG,444.95,434.05,442.30,432.30,10,2.31
HEG,444.95,434.05,442.30,432.30,10,2.31
Linde India,"7,890.00","7,700.00","7,830.15","7,654.65",175.5,2.29
KPIT Tech,"1,428.25","1,416.55","1,424.95","1,393.25",31.7,2.28
Delhivery,366.00,356.20,364.15,356.10,8.05,2.26
Adani Green Ene,"1,639.55","1,614.45","1,634.25","1,598.30",35.95,2.25
CG Power ,721.60,711.90,720.00,704.40,15.6,2.21
Emami,719.95,711.00,718.30,703.35,14.95,2.13
DOMS Industries,"2,875.00","2,802.05","2,843.65","2,785.10",58.55,2.1
ONGC,272.35,268.65,271.65,266.15,5.5,2.07
Eris Life,"1,350.00","1,323.15","1,349.70","1,323.15",26.55,2.01
IDFC First Bank,67.62,66.50,67.25,65.93,1.32,2
Ujjivan Small,39.00,38.15,38.85,38.09,0.76,2
DCM Shriram,"1,075.00","1,050.00","1,069.00","1,048.15",20.85,1.99
Craftsman,"5,225.35","5,100.00","5,200.00","5,099.15",100.85,1.98
Prince Pipes,487.35,477.25,482.45,473.10,9.35,1.98
Indiamart Inter,"2,561.95","2,511.75","2,549.20","2,500.00",49.2,1.97
Mah Seamless,640.00,627.50,638.05,625.85,12.2,1.95
SignatureGlobal,"1,424.00","1,369.50","1,389.30","1,363.15",26.15,1.92
UTI AMC,"1,373.95","1,346.00","1,359.00","1,333.50",25.5,1.91
Phoenix Mills,"1,559.30","1,529.95","1,551.05","1,522.15",28.9,1.9
BLS Internation,408.60,400.25,405.35,397.85,7.5,1.89
Castrol,215.29,212.00,214.29,210.32,3.97,1.89
Motherson SWI,64.06,63.19,63.99,62.80,1.19,1.89
Star Health,518.95,506.25,513.35,503.95,9.4,1.87
Cochin Shipyard,"1,530.00","1,505.00","1,525.00","1,497.20",27.8,1.86
Cochin Shipyard,"1,530.00","1,505.00","1,525.00","1,497.20",27.8,1.86
Medplus Health,680.00,667.10,679.25,666.85,12.4,1.86
KEC Intl,"1,020.70",992.60,"1,003.10",984.90,18.2,1.85
Chola Fin Hold,"1,755.85","1,715.35","1,746.95","1,715.35",31.6,1.84
NHPC,84.38,83.01,84.11,82.60,1.51,1.83
New India Assur,200.62,196.99,199.50,195.94,3.56,1.82
Welspun Living,155.70,153.00,154.98,152.21,2.77,1.82
JK Bank,102.40,100.88,102.25,100.43,1.82,1.81
Avenue Supermar,"4,008.00","3,939.95","4,000.90","3,930.70",70.2,1.79
Jyothy Labs,535.00,521.50,528.40,519.10,9.3,1.79
NMDC Steel,48.55,47.68,48.34,47.49,0.85,1.79
Indigo Paints,"1,684.80","1,652.05","1,674.35","1,645.40",28.95,1.76
Escorts Kubota,"3,825.00","3,656.65","3,810.35","3,745.10",65.25,1.74
L&T Finance,148.70,146.70,148.54,146.00,2.54,1.74
Lemon Tree,120.41,118.40,119.80,117.75,2.05,1.74
Mahindra Life,507.95,496.10,503.50,494.95,8.55,1.73
Suzlon Energy,68.40,67.20,68.11,66.95,1.16,1.73
Finolex Cables,"1,256.50","1,237.15","1,244.40","1,223.50",20.9,1.71
Nuvama Wealth,"7,115.00","7,020.00","7,109.95","6,990.15",119.8,1.71
PNC Infratech,325.10,320.00,323.60,318.15,5.45,1.71
Triveni Turbine,707.95,695.00,703.75,691.90,11.85,1.71
SKF India,"5,255.00","5,155.50","5,245.85","5,158.70",87.15,1.69
eClerx Services,"2,982.25","2,930.00","2,959.40","2,910.55",48.85,1.68
Grindwell Norto,"2,304.75","2,218.70","2,250.80","2,213.55",37.25,1.68
Amber Enterpris,"6,293.60","6,045.25","6,141.30","6,040.25",101.05,1.67
CAMS,"4,527.90","4,460.25","4,517.95","4,443.70",74.25,1.67
IOC,145.00,143.00,145.00,142.62,2.38,1.67
CHEMPLAST SANMA,491.45,480.85,486.95,479.00,7.95,1.66
Laurus Labs,502.55,493.20,499.30,491.25,8.05,1.64
Schaeffler Ind,"3,503.35","3,444.05","3,491.35","3,435.90",55.45,1.61
Varun Beverages,610.00,600.00,607.25,597.75,9.5,1.59
Varun Beverages,610.00,600.00,607.25,597.75,9.5,1.59
Varun Beverages,610.00,600.00,607.25,597.75,9.5,1.59
Thermax,"5,012.75","4,969.00","5,003.30","4,925.45",77.85,1.58
Equitas Bank,71.04,70.18,70.99,69.89,1.1,1.57
Aditya Birla F,317.90,310.00,313.00,308.15,4.85,1.57
Natco Pharma,"1,439.80","1,421.30","1,424.50","1,402.95",21.55,1.54
RamkrishnaForge,942.55,934.35,934.90,920.85,14.05,1.53
TataTeleservice,75.00,73.69,74.57,73.45,1.12,1.52
Yes Bank,20.73,20.57,20.71,20.40,0.31,1.52
Capri Global,207.50,204.00,205.55,202.49,3.06,1.51
Capri Global,207.50,204.00,205.55,202.49,3.06,1.51
Fortis Health,643.90,633.90,634.00,624.70,9.3,1.49
Laxmi Organic,279.60,273.00,277.00,272.95,4.05,1.48
Trident,35.47,35.00,35.14,34.63,0.51,1.47
Alok Industries,23.10,22.59,22.79,22.46,0.33,1.47
APL Apollo,"1,544.00","1,517.60","1,542.55","1,520.45",22.1,1.45
Elecon Eng,588.00,579.05,583.05,574.70,8.35,1.45
Elecon Eng,588.00,579.05,583.05,574.70,8.35,1.45
Easy Trip,33.60,33.11,33.52,33.04,0.48,1.45
Easy Trip,33.60,33.11,33.52,33.04,0.48,1.45
FSN E-Co Nykaa,184.86,182.00,184.30,181.67,2.63,1.45
Kalyan Jeweller,675.00,665.80,666.60,657.15,9.45,1.44
Bank of India,110.79,107.21,110.24,108.69,1.55,1.43
CreditAccess Gr,"1,002.95",990.10,996.00,981.95,14.05,1.43
Aegis Logistics,818.55,802.90,811.85,800.60,11.25,1.41
Jupiter Wagons,526.50,518.05,522.95,515.75,7.2,1.4
Coromandel Int,"1,694.80","1,665.80","1,692.05","1,668.65",23.4,1.4
Indian Hotels,692.60,678.05,686.20,676.70,9.5,1.4
R R Kabel,"1,558.70","1,516.95","1,527.70","1,506.65",21.05,1.4
SJVN,115.10,113.55,114.92,113.33,1.59,1.4
